"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price"
15217,2013,601.366823998157,40.9487275055511,140620,521.108102060209,681.625545936105,361642.05700563
15218,2013,477.17513545699,40.9520538468695,140620,396.909893953741,557.440376960238,227696.109898396
15219,2013,435.005656060154,41.0038784323135,140620,354.638839361629,515.372472758679,189229.920804325
15220,2013,435.913589385701,40.9536771833161,140620,355.645166174097,516.182012597306,190020.657411126
15221,2013,407.214790653315,40.9311800529051,140620,326.990461386603,487.439119920026,165823.885726823
15222,2013,575.746097722611,41.360366665655,140620,494.680570911788,656.811624533435,331483.569042815
15223,2013,454.641162411946,41.009921755713,140620,374.262500915259,535.019823908633,206698.586559285
15224,2013,540.655245952786,40.9976239058442,140620,460.300688006396,621.009803899175,292308.094976267
15226,2013,452.03050644452,40.9564652616918,140620,371.756618652678,532.304394236363,204331.578756489
15227,2013,432.406076196179,40.9323428089769,140620,352.179467949828,512.63268444253,186975.014731376
15228,2013,535.426685573977,40.9582099184666,140620,455.149378288257,615.703992859696,286681.735624734
15229,2013,480.969774193971,40.9548465848511,140620,400.699058977746,561.240489410195,231331.923688199
15232,2013,654.300987801668,41.0082485490749,140620,573.925605757958,734.676369845378,428109.782638238
15233,2013,458.136985432894,41.223424002158,140620,377.339863620725,538.934107245063,209889.49742154
15234,2013,458.828772168827,40.9525559075492,140620,378.562546636258,539.094997701395,210523.842169953
15235,2013,374.692343655724,40.9170623290286,140620,294.495684857523,454.889002453925,140394.352394219
15236,2013,449.119327614551,40.9285817491772,140620,368.900090973401,529.338564255702,201708.170436947
15237,2013,471.262065952997,40.9147487819609,140620,391.069941662755,551.454190243239,222087.934806287
15238,2013,506.814661133581,40.9397787425779,140620,426.573478599734,587.055843667428,256861.100739947
15239,2013,423.502354944319,40.9478661341146,140620,343.245321277895,503.759388610743,179354.244643384
15241,2013,470.526470944259,40.9479257443879,140620,390.269320442841,550.783621445676,221395.159859258
15243,2013,500.905360510181,40.958878003281,140620,420.626743791017,581.183977229346,250906.180187835
