"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price","lower_ci","upper_ci"
15204,2016,400.619148159036,28.5858804121257,133470,344.591344000191,456.646952317881,160495.701871671,118743.194359858,208526.439061209
15205,2016,461.154186482339,28.539721853452,133470,405.216852256494,517.091520708184,212663.183710188,164200.697352661,267383.640788303
15206,2016,540.992592226361,28.5517763756836,133470,485.031631356834,596.953553095888,292672.984843798,235255.683416672,356353.544553805
15207,2016,456.593947358124,28.5700933990908,133470,400.597085456849,512.590809259399,208478.032764073,160478.024876522,262749.337737206
15208,2016,523.019802516842,28.6215039948404,133470,466.922176785703,579.117428247981,273549.713824757,218016.3191743,335376.995700556
15209,2016,473.381299472805,28.5631199294743,133470,417.398105444772,529.364493500839,224089.854690562,174221.178428885,280226.766979399
15210,2016,403.540353745285,28.5409633066433,133470,347.60058629383,459.480121196739,162844.817100869,120826.167591814,211121.98177497
15211,2016,516.510437409202,28.5760951760477,133470,460.501812134573,572.519062683831,266783.031952645,212061.918979225,327778.077136373
15212,2016,460.685706500019,28.5407681329393,133470,404.746321585465,516.625091414574,212231.320173422,163819.584836964,266901.485079117
15213,2016,573.173614855791,28.5721990539395,133470,517.172625909423,629.174603802159,328527.992766855,267467.524990048,395860.682069604
15214,2016,433.961864981108,28.5586930908308,133470,377.987347476064,489.936382486152,188322.900257881,142874.43485199,240037.658883617
15215,2016,534.32808645695,28.5613099271567,133470,478.348440000442,590.307732913458,285506.503976746,228817.230050857,348463.219537426
15216,2016,495.394167942328,28.5451404001115,133470,439.446213463873,551.342122420784,245415.381631272,193112.974527736,303978.135955455
15217,2016,612.685507444546,28.5463674479578,133470,556.735147974695,668.635866914397,375383.531032581,309954.024990405,447073.922524368
15218,2016,495.552519738078,28.5567647502612,133470,439.581781745375,551.523257730782,245572.299818759,193232.142842438,304177.903817975
15219,2016,461.649030929301,28.5943988712047,133470,405.60453074605,517.693531112551,213119.827757963,164515.035361724,268006.592155782
15220,2016,455.989210073254,28.5527117185765,133470,400.026415948719,511.952004197789,207926.15970323,160021.133456777,262094.854602132
15221,2016,431.945244531803,28.5333711853261,133470,376.020357499638,487.870131563967,186576.694273639,141391.309254156,238017.265272242
15222,2016,588.07900543058,28.9517018531533,133470,531.334197920447,644.823812940712,345836.91662822,282316.029879765,415797.749735399
15223,2016,472.924181908409,28.6036255264644,133470,416.861597649157,528.986766167661,223657.281833738,173773.591594608,279826.998780519
15224,2016,560.536006791535,28.6035328838265,133470,504.473604110164,616.598409472906,314200.6149098,254493.617243898,380193.598564518
15226,2016,468.911001062589,28.5540018488245,133470,412.945678306302,524.876323818876,219877.52691752,170524.133231852,275495.155305618
15227,2016,450.661120805645,28.5289130138485,133470,394.744971708254,506.577269903037,203095.4458058,155823.59268895,256620.530382414
15228,2016,550.991385539288,28.5539662349681,133470,495.02613258551,606.956638493066,303591.506938505,245050.871942567,368396.361010803
15229,2016,496.899506785434,28.552042602562,133470,440.938024116082,552.860989454786,246909.119843607,194426.341111394,305655.273660925
15232,2016,660.128790898308,28.6210224676083,133470,604.032108951761,716.225472844856,435770.020572862,364854.788644711,512978.927951838
15233,2016,491.654321405554,28.8572633463587,133470,435.09461164604,548.214031165068,241723.971756756,189307.321083418,300538.623966254
15234,2016,475.948327638459,28.551566951904,133470,419.98777723572,531.908878041198,226526.810581846,176389.733027401,282927.054539046
15235,2016,395.553369955619,28.5180882064898,133470,339.65843728319,451.448302628048,156462.468483247,115367.854017659,203805.569945746
15236,2016,467.365878368302,28.5247595965648,133470,411.457869893022,523.273886843582,218430.864262974,169297.578696903,273815.56065239
15237,2016,489.83133741725,28.5093096106459,133470,433.95361063254,545.70906420196,239934.739115972,188315.736181018,297798.382752178
15238,2016,523.564340557129,28.5268426661547,133470,467.652249303451,579.476431810807,274119.618703022,218698.626278577,335792.935024185
15239,2016,443.557024567374,28.5474312655683,133470,387.604580034412,499.509469100337,196742.834043062,150237.310463653,249509.7097209
15241,2016,488.534885507711,28.5384969402658,133470,432.599952089366,544.469818926056,238666.334358032,187142.718547722,296447.383721372
15243,2016,517.697405608252,28.5550565876008,133470,461.730015583203,573.6647956333,268010.603773515,213194.607290465,329091.297748996
15201,2017,583.899204947086,28.5660211910441,133470,527.910324499299,639.888085394873,340938.281537839,278689.310712955,409456.761830316
15202,2017,482.615407591861,28.5398778873958,133470,426.677767542332,538.55304764139,232917.631645058,182053.917314908,290039.385123829
15203,2017,569.962758873529,28.5898365936644,133470,513.927200671034,625.998317076023,324857.546502724,264121.167589566,391873.892982013
15204,2017,409.368672188204,28.5839486178281,133470,353.344654310944,465.392690065465,167582.709769133,124852.44473012,216590.35596637
15205,2017,469.903710511508,28.5373586907853,133470,413.971008041381,525.836412981634,220809.497152483,171371.995498797,276503.933217391
15206,2017,549.74211625553,28.5499086364708,133470,493.78481612079,605.69941639027,302216.394385108,243823.444631442,366871.783015513
15207,2017,465.343471387292,28.5681469947963,133470,409.350424402929,521.336518371655,216544.546362776,167567.769958858,271791.765387879
15208,2017,531.769326546011,28.6190269987504,133470,475.676555682024,587.862097409997,282778.616655198,226268.185625514,345581.845571281
15209,2017,482.130823501973,28.5609995557489,133470,426.151785367763,538.109861636184,232450.130970691,181605.344172132,289562.223190113
15210,2017,412.289877774453,28.5387849724923,133470,356.354379818198,468.225375730707,169982.943315273,126988.444015613,219235.002478162
15211,2017,525.25996143837,28.5740033218906,133470,469.25543615973,581.26448671701,275898.027090238,220200.664365459,337868.40351839
15212,2017,469.435230529188,28.5384919606481,133470,413.500306870803,525.370154187572,220369.435661992,170982.503782248,276013.798911074
15213,2017,581.923138884959,28.5703132884985,133470,525.925846004456,637.920431765463,338634.539569724,276597.995495503,406942.477263835
15214,2017,442.711389010276,28.5564803732899,133470,386.741208391249,498.681569629303,195993.373959408,149568.762267923,248683.307887946
15215,2017,543.077610486118,28.5591668659807,133470,487.102164390423,599.053056581814,294933.291011312,237268.518553834,358864.564600014
15216,2017,504.143691971497,28.5433107470201,133470,448.199323579725,560.088060363269,254160.862154651,200882.633657323,313698.635361489
15217,2017,621.435031473714,28.5441964595719,133470,565.488927101498,677.381135845931,386181.498342736,319777.726674403,458845.203199924
15218,2017,504.302043767247,28.5546624898767,133470,448.335426166548,560.268661367945,254320.551347822,201004.654355941,313900.972911029
15219,2017,470.398554958469,28.591772428297,133470,414.359202555407,526.437907361531,221274.800507016,171693.548742353,277136.870307188
15220,2017,464.738734102422,28.550615838917,133470,408.780047863788,520.697420341056,215982.090975122,167101.127531521,271125.803549831
15221,2017,440.694768560971,28.5313355995289,133470,384.773871239837,496.615665882105,194211.879037008,148050.931988891,246627.119599526
15222,2017,596.828529459748,28.9500134440642,133470,540.087031200631,653.570027718865,356204.293577085,291694.001271111,427153.781132438
15223,2017,481.673705937577,28.6016082510513,133470,425.615075501337,537.732336373817,232009.558991639,181148.192494009,289156.065582044
15224,2017,569.285530820703,28.6014334488366,133470,513.227242993615,625.343818647792,324086.01560181,263402.202950828,391054.891521002
15226,2017,477.660525091758,28.5518601187095,133470,421.699400087428,533.621650096088,228159.577230934,177830.384034096,284752.065451271
15227,2017,459.410644834814,28.5268906587539,133470,403.498459516516,515.322830153111,211058.140587539,162811.006832202,265557.619277012
15228,2017,559.740909568457,28.5518249308829,133470,503.779853531625,615.701965605288,313309.885844523,253794.140824345,379088.910450216
15229,2017,505.649030814602,28.5505529108226,133470,449.690467913885,561.607593715319,255680.942363746,202221.516932609,315403.089318711
15232,2017,668.878314927477,28.619123428643,133470,612.78535506266,724.971274792294,447398.200180221,375505.89137927,525583.349273963
